TAGID,wave,session_date
TAG_202,wave_1_scheduling_arm_1,2017-04-25
TAG_202,wave_2_scheduling_arm_1,2018-10-02
TAG_202,sos_arm_1,2019-06-16
TAG_202,wave_3_scheduling_arm_1,2021-01-21
TAG_203,wave_1_scheduling_arm_1,2018-01-05
TAG_203,wave_2_scheduling_arm_1,2019-07-12
TAG_203,sos_arm_1,2019-11-24
TAG_205,wave_1_scheduling_arm_1,2017-05-11
TAG_205,wave_2_scheduling_arm_1,2018-10-09
TAG_205,sos_arm_1,2019-07-08
TAG_205,wave_3_scheduling_arm_1,2020-11-29
TAG_206,wave_1_scheduling_arm_1,2017-07-28
TAG_206,wave_2_scheduling_arm_1,2019-02-16
TAG_207,wave_1_scheduling_arm_1,2017-04-03
TAG_207,wave_2_scheduling_arm_1,2018-09-17
TAG_207,sos_arm_1,2019-06-15
TAG_207,wave_3_scheduling_arm_1,2021-01-24
TAG_208,wave_1_scheduling_arm_1,2017-04-22
TAG_208,wave_2_scheduling_arm_1,2018-10-11
TAG_208,wave_3_scheduling_arm_1,2020-11-01
TAG_209,wave_1_scheduling_arm_1,2017-02-11
TAG_209,wave_2_scheduling_arm_1,2018-08-06
TAG_209,wave_3_scheduling_arm_1,2020-02-25
TAG_210,wave_1_scheduling_arm_1,2016-12-19
TAG_210,wave_2_scheduling_arm_1,2018-07-02
TAG_210,sos_arm_1,2019-03-16
TAG_210,wave_3_scheduling_arm_1,2019-12-23
TAG_211,wave_1_scheduling_arm_1,2017-02-19
TAG_211,wave_2_scheduling_arm_1,2018-08-27
TAG_211,wave_3_scheduling_arm_1,2020-02-24
TAG_214,wave_1_scheduling_arm_1,2017-04-15
TAG_215,wave_1_scheduling_arm_1,2018-01-10
TAG_215,wave_2_scheduling_arm_1,2019-06-24
TAG_218,wave_1_scheduling_arm_1,2017-11-01
TAG_218,wave_2_scheduling_arm_1,2019-05-08
TAG_219,wave_1_scheduling_arm_1,2017-07-21
